Code,R,G,B
S01,234,238,243
S02,238,146,124
S03,255,166,48
S04,235,96,39
S05,203,53,49
S06,239,103,178
S07,149,150,152
S08,31,196,103
S09,0,104,94
S10,46,171,216
S100,39,155,190
S101,0,167,227
S102,0,119,202
S103,0,90,169
S104,0,127,158
S105,0,125,145
S106,0,100,154
S107,0,108,159
S108,207,193,121
S109,196,174,100
S11,0,79,164
S110,171,151,69
S111,151,129,56
S112,144,124,65
S113,182,174,132
S114,165,159,101
S115,147,141,84
S116,141,139,81
S117,127,126,73
S118,91,110,53
S119,138,213,201
S12,145,101,178
S120,124,210,165
S121,114,172,154
S122,0,178,111
S123,62,183,36
S124,13,117,53
S125,0,125,110
S126,0,110,105
S127,223,195,225
S128,211,142,212
S129,213,166,186
S13,41,42,43
S130,214,102,142
S131,184,170,217
S132,223,72,109
S133,188,60,166
S134,128,56,151
S135,167,186,225
S136,175,184,223
S137,107,154,212
S138,90,137,206
S139,101,138,208
S14,225,200,53
S140,86,108,189
S141,77,116,198
S142,65,109,190
S143,48,66,158
S144,2,66,136
S145,214,202,106
S146,157,26,56
S147,128,183,161
S148,122,89,79
S149,239,219,161
S15,154,69,65
S150,136,132,208
S151,52,86,33
S152,174,173,220
S153,188,195,225
S154,227,192,154
S155,197,139,96
S156,90,95,101
S157,76,81,86
S158,58,62,66
S159,130,135,139
S16,101,70,61
S17,137,93,73
S18,220,163,132
S19,242,191,184
S20,0,144,83
S21,139,178,58
S22,72,51,126
S23,100,79,164
S24,0,120,191
S25,220,81,154
S26,218,67,131
S27,234,193,37
S28,221,161,204
S29,225,211,103
S30,158,201,205
S31,178,215,206
S32,238,211,158
S33,192,183,215
S34,182,25,39
S35,225,204,210
S36,206,109,131
S37,96,191,203
S38,163,19,74
S39,230,135,57
S40,225,130,176
S41,181,108,39
S42,127,130,131
S43,112,117,123
S44,167,205,222
S45,0,165,161
S46,142,195,36
S47,178,121,56
S48,236,192,61
S49,146,30,93
S50,226,164,136
S51,223,218,189
S52,234,222,127
S53,85,164,217
S54,0,132,206
S55,151,207,135
S56,249,111,64
S57,179,85,64
S58,177,24,54
S59,79,57,137
S60,138,126,194
S61,205,192,63
S62,0,118,95
S63,132,117,83
S64,54,56,77
S65,226,230,93
S66,229,83,60
S67,233,193,166
S68,204,155,116
S69,56,62,68
S70,173,173,41
S71,0,125,43
S72,104,196,210
S73,90,176,191
S74,0,158,194
S75,0,132,178
S76,0,147,169
S77,212,216,211
S78,194,196,194
S79,167,172,173
S80,143,142,60
S81,191,145,104
S82,170,116,78
S83,187,104,51
S84,190,93,101
S85,153,50,58
S86,232,174,0
S87,236,98,94
S88,214,39,121
S89,86,90,94
S90,217,179,94
S91,21,56,56
S92,206,164,51
S93,220,183,148
S94,221,146,133
S95,224,123,105
S96,239,127,97
S97,220,119,43
S98,106,174,219
S99,97,187,211
