Code,R,G,B
H01,236,237,237
H02,240,232,185
H03,240,185,1
H04,230,79,39
H05,182,49,54
H06,225,136,159
H07,105,74,130
H08,44,70,144
H09,48,92,176
H10,37,104,71
H11,73,174,137
H12,83,65,55
H13,192,36,53
H16,55,184,118
H17,131,136,138
H18,46,47,49
H19,216,210,206
H20,127,51,42
H21,165,105,63
H22,165,45,54
H24,104,62,154
H25,135,89,61
H26,222,155,144
H27,222,180,139
H28,54,63,56
H29,185,57,94
H30,89,47,56
H31,103,151,174
H32,255,32,141
H33,255,57,86
H34,229,239,19
H35,255,40,51
H36,35,83,176
H37,6,183,60
H38,253,134,0
H39,241,242,28
H40,254,99,11
H41,38,89,178
H42,12,189,81
H43,240,234,55
H44,238,105,114
H45,136,109,185
H46,98,158,215
H47,131,203,112
H48,207,112,183
H49,73,152,188
